index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
59,2.47071,2.55596,-77.751,-0.582224,0.588324,10.0435,0.60342,0.0158864,-0.0764141
60,2.83433,2.58726,-77.7902,-0.521722,0.691715,10.0145,0.634313,0.0723454,-0.0657614
61,3.17431,2.63573,-77.8197,-0.458446,0.6987,10.0102,0.656683,0.0957813,-0.0615004
62,3.6055,2.70922,-77.8514,-0.466465,0.835001,10.0204,0.674793,0.113891,-0.0423256
63,4.00705,2.76857,-77.8703,-0.394674,1.07144,10.1391,0.681185,0.105369,-0.0242161
64,4.41475,2.83058,-77.8701,-0.466368,1.12663,10.1096,0.68225,0.104303,-0.00504136
65,4.81847,2.89609,-77.8628,-0.523549,0.866622,9.90171,0.698229,0.120282,0.0151987
66,5.23924,2.96644,-77.8436,-0.616283,0.961102,9.78758,0.748296,0.0989771,0.0226555
67,5.69506,3.01254,-77.8237,-0.713053,0.947453,9.56754,0.820734,0.0457138,0.0258513
68,6.24951,3.035,-77.805,-0.754527,1.061,9.31153,0.933652,0.00523379,0.024786
69,6.70152,3.04162,-77.796,-0.754093,1.09571,9.26829,1.01461,-0.0192673,0.0162639
70,7.44536,3.05374,-77.7924,-0.730393,1.23519,9.48839,1.11688,-0.0118104,-0.00291083
71,8.10278,3.05654,-77.793,-0.655899,1.36615,9.63166,1.15949,-0.0192673,0.00241549
72,8.77333,3.05191,-77.7926,-0.678025,1.40927,9.83528,1.18399,-0.0160715,0.0120029
73,9.37286,3.0516,-77.7855,-0.621947,1.44524,9.88198,1.16695,-0.00754938,0.0109376
74,10.1008,3.06033,-77.7645,-0.651618,1.58766,9.89976,1.16162,0.00842958,0.0375692
75,10.759,3.05889,-77.7412,-0.519576,1.80693,9.8146,1.15416,-0.00967991,0.0556787
76,11.4206,3.04224,-77.7129,-0.608582,1.96963,9.80607,1.14671,-0.0309852,0.0599398
77,12.1517,3.00648,-77.6797,-0.478725,2.10769,9.65688,1.16481,-0.0490947,0.0705924
78,12.7509,2.9701,-77.6505,-0.522356,2.17149,9.85911,1.15736,-0.0725305,0.0695271
79,13.474,2.90959,-77.6121,-0.424886,2.19691,9.92154,1.14351,-0.0714652,0.0759187
80,14.1285,2.86851,-77.5761,-0.302688,2.41711,10.0486,1.15203,-0.0277894,0.0716577
81,14.7918,2.84551,-77.5413,-0.310212,2.6205,10.0647,1.16695,0.0158864,0.0684619
82,15.4635,2.84377,-77.5101,-0.284683,2.64155,10.0428,1.18186,0.0457138,0.0343734
83,16.1435,2.86386,-77.48,-0.442253,2.7456,9.90239,1.20423,0.0574317,0.0396997
84,16.8241,2.89804,-77.4543,-0.28389,2.70189,9.95809,1.21169,0.105369,0.0109376
85,17.5221,2.94429,-77.4273,-0.330525,3.17923,9.89344,1.21914,0.0861939,0.0162639
86,18.2191,2.97557,-77.3997,-0.421346,3.31148,9.8267,1.19358,0.042518,0.0333082
87,18.9584,2.98368,-77.3679,-0.467636,3.14448,9.78975,1.15842,0.038257,0.0450261
88,19.6144,2.99985,-77.326,-0.562651,3.13788,9.59693,1.1531,0.0478444,0.0556787
89,20.208,3.00542,-77.2942,-0.509288,3.25777,9.57905,1.16588,0.0308001,0.0503524
90,20.9383,2.99595,-77.2646,-0.380869,3.45562,9.4539,1.18186,0.00523379,0.0492871
91,21.6094,2.9846,-77.2424,-0.509439,3.6701,9.50608,1.18399,0.0105601,0.0343734
92,22.2805,2.99128,-77.2145,-0.437496,3.66551,9.57222,1.18079,0.0574317,0.0333082
93,22.9464,3.01731,-77.1814,-0.447988,3.80629,9.76375,1.18186,0.0851286,0.0301124
94,23.5454,3.05758,-77.1502,-0.419071,3.97307,9.62328,1.1776,0.132,0.0226555
95,24.3381,3.14346,-77.099,-0.410208,3.88642,9.49381,1.17121,0.162893,0.00667655
96,25.0007,3.22639,-77.0544,-0.457868,3.96855,9.37359,1.19358,0.177807,0.00135023
97,25.475,3.29366,-77.021,-0.439131,4.01198,9.28487,1.21275,0.205503,-0.00823715
98,26.3873,3.45728,-76.9468,-0.420263,3.98564,9.02341,1.27347,0.286464,-0.015694
99,26.9742,3.58378,-76.8935,-0.433262,4.05098,8.77937,1.32887,0.33227,-0.0252814
100,27.9826,3.83886,-76.7942,-0.687258,3.9993,8.51386,1.41622,0.35251,-0.051913
101,28.7921,3.99695,-76.7439,-0.700503,4.24728,8.69719,1.47055,0.21296,-0.0529783
102,29.6393,4.09299,-76.7223,-0.65066,4.771,8.52656,1.50783,0.140522,-0.0444561
103,30.5179,4.16758,-76.7063,-0.647402,5.25289,8.6444,1.52913,0.125609,-0.0295424
104,31.399,4.23186,-76.6819,-0.722642,5.3944,8.76968,1.51529,0.114956,-0.00291083
105,32.2573,4.27697,-76.647,-0.612897,5.33456,8.75698,1.4812,0.113891,0.0173292
106,33.0103,4.31748,-76.5992,-0.585532,5.46947,8.48759,1.44178,0.139457,0.0439608
107,33.9076,4.36467,-76.5168,-0.495796,5.72668,8.67696,1.40024,0.153306,0.0748535
