index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
58,-9.14759,12.3613,-158.429,-2.14408,-1.63697,9.75589,-0.00271517,0.00310326,0.00241549
59,-9.14917,12.3611,-158.429,-2.16014,-1.57517,9.83088,0.00261115,-0.00435359,0.00454602
60,-9.14989,12.3617,-158.429,-2.17819,-1.60326,9.77107,0.00154589,-0.00328832,0.00454602
61,-9.15055,12.3613,-158.431,-2.20305,-1.5462,9.77544,0.000480625,-0.0011578,0.00454602
62,-9.15015,12.3616,-158.431,-2.18136,-1.56125,9.74243,0.000480625,0.00310326,0.00241549
63,-9.1498,12.3614,-158.431,-2.20119,-1.52108,9.81367,0.00367642,-0.00435359,-0.0039761
64,-9.14867,12.3611,-158.431,-2.13597,-1.51933,9.76212,-0.00271517,0.00310326,-0.00291083
65,-9.14853,12.3612,-158.431,-2.12536,-1.56486,9.72902,-0.00271517,-0.00648412,-0.0039761
66,-9.14976,12.361,-158.431,-2.17854,-1.65938,9.75071,-0.00058464,-0.00328832,-0.00184557
67,-9.14955,12.3601,-158.43,-2.13613,-1.55006,9.74195,0.00261115,0.000972733,0.000284962
68,-9.1498,12.36,-158.431,-2.15986,-1.54785,9.81114,0.000480625,0.00416853,0.00880708
69,-9.1501,12.3605,-158.43,-2.14166,-1.57156,9.72736,0.000480625,0.0105601,0.00454602
70,-9.14888,12.3612,-158.431,-2.16338,-1.55478,9.77488,-0.00271517,-0.00754938,-0.00504136
71,-9.14843,12.3622,-158.431,-2.23914,-1.55395,9.75408,0.00474168,0.00310326,0.00561128
72,-9.14817,12.3615,-158.431,-2.16703,-1.57086,9.75305,0.00154589,-0.0011578,0.000284962
73,-9.1471,12.3623,-158.431,-2.1635,-1.58545,9.74383,0.0132638,0.000972733,0.00561128
74,-9.14608,12.362,-158.431,-2.14514,-1.55332,9.73116,0.00261115,-0.0011578,0.000284962
75,-9.14544,12.3603,-158.431,-2.14711,-1.55708,9.7656,-0.0016499,0.002038,-0.00184557
76,-9.14442,12.3598,-158.431,-2.1992,-1.52805,9.75197,0.00154589,-0.00967991,0.000284962
77,-9.14407,12.3588,-158.43,-2.11468,-1.53673,9.82517,-0.00058464,0.00310326,-0.00184557
78,-9.14492,12.3587,-158.43,-2.1925,-1.60439,9.73499,0.00154589,0.00842958,0.000284962
79,-9.14592,12.3592,-158.431,-2.18193,-1.60692,9.79828,0.00261115,0.00629906,0.00348076
80,-9.14746,12.3603,-158.431,-2.16699,-1.56542,9.75309,0.00261115,0.00736432,-0.000780302
81,-9.14723,12.3604,-158.43,-2.18231,-1.66307,9.78335,0.000480625,-0.00754938,-0.0039761
82,-9.14791,12.3605,-158.43,-2.17804,-1.58869,9.76212,-0.00378043,-0.00328832,-0.00184557
83,-9.14829,12.3603,-158.431,-2.15316,-1.60447,9.836,-0.00591096,-0.0011578,-0.00184557
84,-9.14871,12.3592,-158.431,-2.12242,-1.62156,9.79018,0.00154589,-0.00541885,0.00135023
85,-9.15048,12.3581,-158.431,-2.11312,-1.60533,9.75393,0.00474168,0.00310326,0.00667655
86,-9.15095,12.3579,-158.431,-2.16658,-1.51819,9.74076,-0.0048457,-0.0011578,0.00241549
87,-9.14871,12.3572,-158.432,-2.12889,-1.56642,9.70548,0.00367642,-0.0011578,-0.00717189
88,-9.14726,12.3562,-158.432,-2.15941,-1.53824,9.71514,-0.00058464,0.00523379,0.000284962
89,-9.14757,12.3562,-158.432,-2.19608,-1.55578,9.82241,-0.00378043,0.00523379,0.00348076
90,-9.14653,12.3553,-158.432,-2.17061,-1.56172,9.76223,-0.00058464,0.000972733,-0.0039761
91,-9.14747,12.3554,-158.431,-2.19072,-1.59372,9.76224,0.00261115,0.00736432,0.00774181
92,-9.14704,12.3556,-158.431,-2.11976,-1.56298,9.68546,-0.0016499,-0.00328832,-0.000780302
93,-9.14715,12.355,-158.431,-2.16164,-1.54955,9.80209,-0.00058464,-0.0128757,-0.00504136
94,-9.1471,12.3539,-158.432,-2.18482,-1.55373,9.71715,0.00474168,0.002038,0.000284962
95,-9.1462,12.3535,-158.431,-2.14714,-1.55893,9.77102,0.000480625,0.0105601,0.000284962
96,-9.14709,12.3534,-158.431,-2.23378,-1.56318,9.75032,-0.0016499,0.00310326,0.00348076
97,-9.14848,12.3526,-158.432,-2.1349,-1.60476,9.7814,-0.00271517,0.00416853,0.000284962
98,-9.14691,12.354,-158.431,-2.19027,-1.53925,9.7554,-0.00058464,-0.00541885,-0.00504136
99,-9.14689,12.3539,-158.432,-2.13476,-1.5956,9.76515,0.00367642,0.00416853,0.00454602
100,-9.14652,12.3537,-158.432,-2.19087,-1.58675,9.81486,0.000480625,-0.0011578,-0.00184557
101,-9.14846,12.3539,-158.433,-2.16904,-1.61057,9.7274,-0.00058464,0.00416853,-0.00717189
102,-9.14884,12.3544,-158.432,-2.1834,-1.5974,9.72949,-0.00591096,0.000972733,0.00774181
103,-9.14872,12.3544,-158.432,-2.18498,-1.55038,9.76612,-0.00058464,0.002038,0.000284962
104,-9.14878,12.354,-158.432,-2.15828,-1.5931,9.78178,-0.00271517,0.00310326,-0.00291083
105,-9.14822,12.3554,-158.433,-2.19752,-1.56596,9.70815,0.00261115,-0.00648412,0.00667655
